machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5546777777777777,0.48970760233918126,0.5505,0.5108187134502924
pump,0.6267111111111112,0.5366666666666666,0.5234444444444444,0.4990643274853801
ToyCar,0.5367666666666666,0.492280701754386,0.5048444444444444,0.5012865497076023
valve,0.4945333333333333,0.5039181286549708,0.49982222222222217,0.5095906432748538
gearbox,0.6475901317750467,0.5395808547300416,0.7426702881799969,0.5932488989463951
ToyTrain,0.6203333333333334,0.5590643274853802,0.5569555555555556,0.577485380116959
slider,0.7275368511001923,0.658136475561902,0.5582008830022075,0.5674451028232834
