machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5469888888888889,0.49491228070175436,0.5553,0.5117543859649123
pump,0.6288222222222222,0.5395321637426901,0.5208555555555556,0.49309941520467837
ToyCar,0.5464444444444445,0.49023391812865497,0.5127111111111111,0.5011111111111111
valve,0.5065999999999999,0.5045029239766082,0.49444444444444435,0.5111695906432748
gearbox,0.6467028510824132,0.5393400630947052,0.7393955154877485,0.5911045818429569
ToyTrain,0.636,0.5684795321637427,0.5589222222222222,0.581812865497076
slider,0.7185750907925658,0.649141546453187,0.5627704194260486,0.5680260253282212
