machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5062444444444445,0.49432748538011695,0.5308222222222223,0.5051461988304093
pump,0.5600444444444445,0.5051461988304093,0.49297777777777774,0.48801169590643273
ToyCar,0.46824444444444446,0.49122807017543857,0.5419111111111111,0.4946198830409357
valve,0.43703333333333333,0.5018713450292398,0.4855111111111111,0.504093567251462
gearbox,0.5541553157124933,0.5065340269591774,0.5994086145785175,0.5101477398999116
ToyTrain,0.5166333333333334,0.516608187134503,0.5448222222222222,0.5283625730994153
slider,0.6458555864131597,0.5557629386433398,0.5818543046357616,0.5324154757755315
