machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5112333333333333,0.49701754385964914,0.5069333333333333,0.5041520467836257
pump,0.5353888888888889,0.513859649122807,0.5099888888888888,0.5021052631578947
ToyCar,0.44271111111111117,0.49526315789473685,0.46786666666666665,0.5008187134502924
valve,0.533,0.5070760233918129,0.5245555555555556,0.5061988304093568
gearbox,0.477634287853266,0.5016525238064488,0.4711916319926029,0.5149280969413825
ToyTrain,0.44978888888888885,0.48426900584795324,0.5322333333333333,0.519298245614035
slider,0.5554048280281991,0.5566624315542114,0.599569536423841,0.5625072615313117
