machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.4752777777777778,0.49526315789473685,0.5331999999999999,0.5197076023391813
pump,0.5146,0.49988304093567254,0.48007777777777777,0.4957309941520468
ToyCar,0.4687,0.4853801169590643,0.4966555555555556,0.489766081871345
valve,0.5203333333333333,0.5189473684210526,0.5301111111111111,0.5164912280701754
gearbox,0.5899168867538697,0.49711031795805777,0.5512501926336878,0.500566748586677
ToyTrain,0.4766777777777778,0.5067251461988304,0.628688888888889,0.5402923976608187
slider,0.5847575304422132,0.5579554526135891,0.5553752759381898,0.5216684094341815
