machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.4996777777777778,0.4934502923976608,0.5441,0.502280701754386
pump,0.5687444444444444,0.5067836257309941,0.49350000000000005,0.4887719298245614
ToyCar,0.44651111111111114,0.48473684210526313,0.5445222222222221,0.4965497076023392
valve,0.43257777777777773,0.5030994152046784,0.4837444444444444,0.502046783625731
gearbox,0.5496426615648027,0.505388442512274,0.6075570195715826,0.5103302349725446
ToyTrain,0.5080111111111111,0.5133918128654971,0.5450777777777778,0.5452631578947369
slider,0.6500747703482163,0.5617782974847929,0.5789845474613686,0.5383408853258975
