machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5089555555555556,0.49339181286549705,0.5468222222222222,0.5077777777777778
pump,0.5971,0.5259649122807017,0.5099888888888889,0.4917543859649123
ToyCar,0.5187111111111111,0.48789473684210527,0.5321777777777777,0.4952046783625731
valve,0.5076,0.5050877192982456,0.5054444444444445,0.5084795321637426
gearbox,0.6249436784716591,0.5367241903290053,0.7076205886885498,0.5707462426292268
ToyTrain,0.5785333333333333,0.5602923976608187,0.5540666666666667,0.571345029239766
slider,0.7008651997436445,0.6543698489976276,0.5643487858719647,0.5684326710816777
