machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.49925555555555556,0.502748538011696,0.5536777777777778,0.5184210526315789
pump,0.5671333333333334,0.5343859649122807,0.5128333333333334,0.4942105263157895
ToyCar,0.48744444444444446,0.48619883040935674,0.5250222222222223,0.496140350877193
valve,0.47374444444444447,0.5080701754385964,0.49643333333333334,0.5078362573099415
gearbox,0.5793942922896693,0.5085406239203141,0.6367795500077054,0.5192370083785516
ToyTrain,0.5356777777777777,0.5438011695906433,0.5544444444444445,0.5885964912280702
slider,0.6562273018585771,0.6353118429485378,0.5797902869757174,0.571046822353898
