machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5505333333333333,0.4943859649122807,0.5529333333333334,0.5118713450292398
pump,0.6303222222222222,0.5431578947368421,0.5215000000000001,0.49444444444444446
ToyCar,0.5378555555555555,0.4905847953216374,0.5111333333333334,0.5009356725146199
valve,0.4955222222222222,0.5003508771929824,0.5019333333333333,0.5107602339181286
gearbox,0.6531217723431835,0.5374173783701252,0.7417745415318231,0.5905723045477772
ToyTrain,0.627788888888889,0.5675438596491228,0.5569999999999999,0.578421052631579
slider,0.7182439649647512,0.6466117226413609,0.5656953642384106,0.5663994423143952
