machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5247999999999999,0.4918713450292398,0.5500111111111111,0.5067251461988304
pump,0.6148333333333333,0.5362573099415204,0.5227666666666667,0.4898245614035088
ToyCar,0.5024222222222222,0.48912280701754385,0.5256666666666667,0.4969590643274854
valve,0.49394444444444446,0.5028654970760233,0.5140777777777777,0.5099415204678363
gearbox,0.6420099680440313,0.5124626088898083,0.734406302974264,0.5350025549310169
ToyTrain,0.5400222222222222,0.5401754385964912,0.5422444444444445,0.5846783625730994
slider,0.6949583422345653,0.6140051046222692,0.5548454746136865,0.5646566747995817
