machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.4910555555555556,0.503859649122807,0.5135111111111113,0.5089473684210526
pump,0.5177333333333334,0.5032748538011695,0.5199555555555555,0.4874853801169591
ToyCar,0.4718555555555556,0.5078947368421053,0.5355333333333334,0.5129824561403509
valve,0.5541888888888888,0.5471929824561403,0.5449,0.5392397660818713
gearbox,0.45440209065513204,0.4818273458304192,0.5769041840036986,0.4943315002717149
ToyTrain,0.49888333333333335,0.5635380116959064,0.4733222222222222,0.5242105263157895
slider,0.5626468703268532,0.5205702785054925,0.49930463576158945,0.5141164168699895
