machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5114555555555556,0.49216374269005847,0.5435333333333333,0.5076608187134503
pump,0.5939111111111111,0.5232748538011696,0.5148111111111111,0.4907017543859649
ToyCar,0.5075777777777778,0.4846198830409357,0.5377555555555555,0.495906432748538
valve,0.5070777777777777,0.5042105263157894,0.5065,0.5094152046783625
gearbox,0.5800042977658549,0.5060487953303935,0.6245954692556634,0.5117242945551581
ToyTrain,0.6015333333333333,0.5511111111111111,0.5561444444444443,0.5917543859649123
slider,0.6634693441572314,0.6309830333149686,0.5853532008830022,0.5698268850935285
