machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5067555555555556,0.49391812865497076,0.5463777777777777,0.5093567251461988
pump,0.5434777777777777,0.5270175438596492,0.5078,0.49432748538011695
ToyCar,0.47896666666666665,0.48736842105263156,0.5115888888888889,0.4947953216374269
valve,0.5179333333333334,0.5094152046783625,0.5075222222222222,0.5180116959064327
gearbox,0.5799904340050326,0.5076759630479697,0.6310390661118817,0.5190899984589304
ToyTrain,0.5338111111111112,0.5415204678362573,0.5499111111111111,0.5824561403508772
slider,0.7044221320230719,0.6465555043344315,0.5478145695364238,0.5666318113163704
