machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5528444444444445,0.4932748538011696,0.5519444444444445,0.5111695906432748
pump,0.6246666666666667,0.544327485380117,0.5187666666666667,0.4939766081871345
ToyCar,0.5393777777777778,0.4915204678362573,0.5125222222222222,0.5023391812865498
valve,0.4985333333333334,0.5060818713450292,0.4930777777777777,0.5096491228070176
gearbox,0.6484288893048017,0.5394458654799288,0.7404742641393127,0.5950383645197135
ToyTrain,0.6303333333333333,0.5658479532163743,0.5563555555555556,0.5857894736842105
slider,0.7245460371715444,0.6533017011659676,0.5644481236203089,0.5686650400836528
