machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5063222222222222,0.4987719298245614,0.5615,0.5128070175438596
pump,0.5547555555555556,0.505672514619883,0.5160444444444444,0.4935672514619883
ToyCar,0.49372222222222223,0.48964912280701756,0.5250888888888889,0.49567251461988304
valve,0.5016888888888889,0.5129824561403509,0.5224,0.5101169590643275
gearbox,0.5901109794053833,0.5038524837474767,0.6634400523963631,0.5156935623849267
ToyTrain,0.5584888888888889,0.5321637426900585,0.5419111111111111,0.5847368421052631
slider,0.6905255287331767,0.6091703302263349,0.5552649006622516,0.5630300917857558
