machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5428222222222222,0.48760233918128654,0.5522777777777779,0.507953216374269
pump,0.6375666666666667,0.5385964912280702,0.5228444444444444,0.4922222222222222
ToyCar,0.5390333333333334,0.49321637426900583,0.5123555555555556,0.5021637426900585
valve,0.5100666666666667,0.5060818713450292,0.49925555555555556,0.51046783625731
gearbox,0.6521790366072604,0.5349729784356497,0.7450396825396826,0.5917483839047457
ToyTrain,0.6206777777777777,0.5624561403508772,0.5584777777777777,0.5809356725146199
slider,0.7388698995941039,0.6463868494136431,0.5568763796909493,0.5690716858371093
