machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5518222222222222,0.4935672514619883,0.5539333333333333,0.509766081871345
pump,0.6238222222222223,0.5445029239766082,0.5210444444444444,0.4939766081871345
ToyCar,0.5359,0.4939766081871345,0.5119,0.5001754385964913
valve,0.517511111111111,0.5057894736842106,0.5032777777777777,0.5105847953216375
gearbox,0.6600744483956164,0.5422441561511865,0.7547098936662042,0.5992864442660049
ToyTrain,0.6203777777777777,0.5583040935672515,0.5562333333333334,0.5837426900584796
slider,0.7248237556077761,0.642788877770157,0.5583554083885209,0.5674451028232834
