machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5014777777777778,0.49853801169590645,0.5507,0.5102923976608187
pump,0.5758888888888889,0.5263157894736842,0.5142666666666666,0.49157894736842106
ToyCar,0.48015555555555556,0.48678362573099415,0.5140111111111112,0.495906432748538
valve,0.48173333333333335,0.5102339181286549,0.5043000000000001,0.504093567251462
gearbox,0.586866859372942,0.5130098626064818,0.6511692864848205,0.539281050522747
ToyTrain,0.5531,0.5426315789473685,0.5529111111111111,0.5867836257309942
slider,0.6344798120059817,0.5913491269296934,0.5910706401766004,0.5652956895550134
