machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5451777777777778,0.4905847953216374,0.5544444444444444,0.5116374269005848
pump,0.6223777777777777,0.5380701754385965,0.5226999999999999,0.497953216374269
ToyCar,0.5337666666666667,0.49339181286549705,0.5178777777777778,0.5007602339181286
valve,0.48697777777777773,0.5005847953216375,0.5027222222222223,0.5088304093567252
gearbox,0.6526504044752219,0.5415509681100666,0.7450011558021268,0.5942323446155843
ToyTrain,0.6329555555555556,0.5866666666666667,0.5552333333333332,0.5833333333333333
slider,0.7283486434522538,0.6490853281462575,0.5531456953642384,0.5644243057976066
