machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5535444444444444,0.4922222222222222,0.5600666666666667,0.508187134502924
pump,0.6223444444444445,0.5432163742690058,0.519788888888889,0.4919298245614035
ToyCar,0.5405111111111112,0.4883625730994152,0.5035111111111111,0.5004093567251462
valve,0.48486666666666667,0.49830409356725147,0.49816666666666676,0.509766081871345
gearbox,0.6529484753329037,0.535210121712875,0.7437297734627832,0.5924276711195464
ToyTrain,0.6215666666666666,0.5691812865497076,0.5574333333333332,0.5822222222222222
slider,0.7146443067720573,0.6489166732254692,0.5621523178807947,0.5708725456024166
