machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5021222222222224,0.49912280701754386,0.5594666666666667,0.5274853801169591
pump,0.5318111111111111,0.5126900584795322,0.5070777777777778,0.4952046783625731
ToyCar,0.46955555555555556,0.4882456140350877,0.5094333333333334,0.4954970760233918
valve,0.5105444444444444,0.5036257309941521,0.5152777777777777,0.5050877192982456
gearbox,0.5697797741593362,0.49626025051815803,0.6290934658653106,0.507557323730037
ToyTrain,0.5649666666666666,0.5364912280701755,0.5443555555555555,0.582514619883041
slider,0.6455565050202947,0.6037171544541764,0.5920971302428256,0.5688393168351342
