machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5349999999999999,0.512280701754386,0.5316666666666667,0.51
pump,0.4850000000000001,0.4977005620848237,0.5133333333333333,0.5026990553306343
ToyCar,0.4616666666666667,0.4945471787577051,0.5449999999999999,0.5053423031262366
valve,0.5583333333333332,0.5279106858054227,0.5700000000000001,0.52046783625731
gearbox,0.5000207956412337,0.500001930654743,0.5169036061026352,0.5015357877935062
ToyTrain,0.49333333333333335,0.494313369630974,0.4716666666666667,0.4962406015037594
slider,0.5738303781243324,0.54860646570078,0.5140728476821192,0.502962704775183
