machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5216555555555555,0.5201754385964912,0.49948888888888887,0.5010526315789474
pump,0.5451444444444444,0.5221052631578947,0.47988888888888886,0.50046783625731
ToyCar,0.45072222222222225,0.4903508771929824,0.45057777777777785,0.5049707602339182
valve,0.5228444444444444,0.5060818713450292,0.5073888888888889,0.503859649122807
gearbox,0.5591601333693792,0.49734381287717183,0.54610687316998,0.5055904323916588
ToyTrain,0.4620888888888889,0.5297076023391812,0.5219111111111111,0.5068421052631579
slider,0.5377590258491776,0.5576181427720123,0.6131346578366446,0.5575113279888463
