machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5380444444444444,0.4919298245614035,0.5476,0.5143859649122807
pump,0.6237777777777777,0.5388304093567251,0.5181555555555555,0.4957894736842105
ToyCar,0.5353777777777777,0.4912865497076023,0.5148777777777778,0.4998245614035088
valve,0.49897777777777774,0.5047368421052632,0.4950666666666667,0.5095321637426901
gearbox,0.6480753634038305,0.5351298578344295,0.739539990753583,0.5880224428384878
ToyTrain,0.6236555555555555,0.5806432748538012,0.5528333333333334,0.5866081871345029
slider,0.7207754753257851,0.6509967505818595,0.5663245033112583,0.5677936563262461
