ToyCar
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.6819,0.5089473684210526,0.5,1.0,0.6666666666666666
01,source,0.5958,0.51,0.5,1.0,0.6666666666666666
02,source,0.7474000000000001,0.5673684210526315,0.5,1.0,0.6666666666666666
00,target,0.5660999999999999,0.5026315789473684,0.5,1.0,0.6666666666666666
01,target,0.6445,0.5036842105263157,0.5,1.0,0.6666666666666666
02,target,0.5921,0.5552631578947369,0.5,1.0,0.6666666666666666
arithmetic mean,,0.6379666666666667,0.5246491228070175,0.5,1.0,0.6666666666666666
harmonic mean,,0.6322548254676306,0.5233777657230233,0.5,1.0,0.6666666666666666

ToyTrain
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.4195,0.5047368421052632,0.5370370370370371,0.87,0.6641221374045801
01,source,0.6481,0.5926315789473684,0.8823529411764706,0.15,0.25641025641025644
02,source,0.5033,0.47526315789473683,0.5357142857142857,0.15,0.23437499999999997
00,target,0.6069,0.49894736842105264,0.5900621118012422,0.95,0.7279693486590039
01,target,0.5146000000000001,0.4957894736842105,0.45454545454545453,0.05,0.0900900900900901
02,target,0.5765,0.49526315789473685,0.5,1.0,0.6666666666666666
arithmetic mean,,0.5448166666666667,0.510438596491228,0.5832853050457484,0.5283333333333333,0.43993891653843287
harmonic mean,,0.5338444609145803,0.5079128581042797,0.5577864012147797,0.16422433063434505,0.25374165323509096

fan
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.6742000000000001,0.5715789473684211,0.651685393258427,0.58,0.6137566137566138
01,source,0.6819999999999999,0.5094736842105263,0.6290322580645161,0.39,0.4814814814814815
02,source,0.6515,0.5321052631578947,0.6338028169014085,0.45,0.5263157894736842
00,target,0.6912999999999999,0.5473684210526316,0.6555555555555556,0.59,0.6210526315789474
01,target,0.4974,0.4821052631578947,0.5,0.49,0.494949494949495
02,target,0.6241,0.5510526315789473,0.5,1.0,0.6666666666666666
arithmetic mean,,0.6367499999999999,0.5322807017543859,0.5950126706299845,0.5833333333333334,0.5673704463178147
harmonic mean,,0.6286839481242174,0.5306191814541714,0.5866577682181106,0.5335138128459315,0.5588251443772965

gearbox
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.5572649572649573,0.5194396247027826,0.5454545454545454,0.05714285714285714,0.10344827586206896
01,source,0.7290809327846365,0.5209732149303299,0.6666666666666666,0.037037037037037035,0.07017543859649122
02,source,0.5882313472893184,0.515848800745826,0.7647058823529411,0.09420289855072464,0.16774193548387098
00,target,0.7294560185185185,0.5525706627680311,0.6363636363636364,0.06481481481481481,0.11764705882352942
01,target,0.7343106995884774,0.5221464154212693,0.0,0.0,0.0
02,target,0.6676984126984127,0.5288220551378446,0.75,0.075,0.13636363636363635
arithmetic mean,,0.6676737280240536,0.5266334622843472,0.5605317884729649,0.054699601257572276,0.09922939085493282
harmonic mean,,0.6595966793782958,0.5263583253377304,1.3322676295501859e-15,1.332267629550163e-15,1.3322676295501746e-15

pump
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.6737,0.6194736842105263,0.7586206896551724,0.44,0.5569620253164557
01,source,0.8302,0.5689473684210526,0.7524752475247525,0.76,0.7562189054726369
02,source,0.6455000000000002,0.5542105263157895,0.6885245901639344,0.42,0.5217391304347826
00,target,0.5807,0.5136842105263157,0.546875,0.35,0.4268292682926829
01,target,0.4537,0.49526315789473685,0.47096774193548385,0.73,0.5725490196078431
02,target,0.6229,0.5210526315789473,0.6326530612244898,0.31,0.4161073825503356
arithmetic mean,,0.6344500000000001,0.5454385964912282,0.6416860550839721,0.5016666666666666,0.5417342886124561
harmonic mean,,0.6141494349078555,0.5424309521092343,0.6229226567550742,0.4470178950152504,0.5205103672708254

slider
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.7234999999999999,0.5178947368421053,0.66,0.33,0.44000000000000006
01,source,0.8199000000000001,0.6136842105263158,0.8333333333333334,0.55,0.6626506024096386
02,source,0.7848484848484849,0.6500609813303312,0.7605633802816901,0.5294117647058824,0.6242774566473989
00,target,0.6696,0.5868421052631578,0.6911764705882353,0.47,0.5595238095238095
01,target,0.6669387755102041,0.5311493018259935,0.7142857142857143,0.4,0.5128205128205129
02,target,0.4631872356785852,0.49988870677269875,0.47692307692307695,0.6078431372549019,0.5344827586206896
arithmetic mean,,0.6879957493395458,0.5665866737601004,0.6893803292353416,0.48120915032679745,0.5556258566703415
harmonic mean,,0.6646186610372747,0.5614873021853612,0.668631772909939,0.46117680660993554,0.5458578938382384

valve
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.5041000000000001,0.5068421052631579,0.625,0.2,0.30303030303030304
01,source,0.5316000000000001,0.49,0.5365853658536586,0.22,0.3120567375886525
02,source,0.5904,0.5168421052631579,0.6153846153846154,0.24,0.34532374100719426
00,target,0.4749,0.48736842105263156,0.38235294117647056,0.13,0.19402985074626866
01,target,0.5722,0.5357894736842105,0.5192307692307693,0.81,0.6328125000000001
02,target,0.5555000000000001,0.4921052631578947,0.5365853658536586,0.22,0.3120567375886525
arithmetic mean,,0.5381166666666668,0.5048245614035087,0.5358565095831954,0.30333333333333334,0.3498849783268452
harmonic mean,,0.5351341854092079,0.5042453093908931,0.5220304112121839,0.22071440480821908,0.310253613400708

,,AUC,pAUC,precision,recall,F1 score
"arithmetic mean over all machine types, sections, and domains",,0.6211099253376572,0.5301216735702594,0.5865360940073153,0.49322505975014785,0.46006436342678436
