machine,AUC_source,pAUC_source,AUC_target,pAUC_target
gearbox,0.7057694040662411,0.5527660209437646,0.8120473108337187,0.6606402738237179
valve,0.49777777777777776,0.5053216374269006,0.5325333333333333,0.5226900584795322
slider,0.7365520187994019,0.6537514476214035,0.6038852097130243,0.5959683978157314
ToyTrain,0.5744111111111111,0.5426315789473685,0.5542888888888889,0.5905263157894737
fan,0.5568555555555557,0.49491228070175436,0.5454777777777778,0.5067251461988304
pump,0.6492111111111111,0.5654385964912281,0.5403555555555555,0.492280701754386
ToyCar,0.5791333333333334,0.48994152046783623,0.5414555555555556,0.4992397660818713
