machine,AUC_source,pAUC_source,AUC_target,pAUC_target
fan,0.5641444444444444,0.49046783625730994,0.5569444444444445,0.5090058479532164
pump,0.6301444444444444,0.5385380116959064,0.5186222222222223,0.4927485380116959
ToyCar,0.5443444444444445,0.49181286549707603,0.5203777777777778,0.5013450292397661
valve,0.49858888888888886,0.49935672514619883,0.5035555555555555,0.5123391812865496
gearbox,0.6516660774568317,0.5398034045748221,0.744914470642626,0.5947342060653251
ToyTrain,0.6223444444444445,0.5719883040935673,0.5555666666666667,0.5821637426900584
slider,0.73527024140141,0.6497599478294112,0.5602869757174392,0.568606947833159
